Week,Articulo,Unidad de venta,Cantidad,Week Start,Week End,Week Number
2021-Week01,IVP11588,KG,6900,2021-01-04,2021-01-10,1
2021-Week01,IVP11589,KG,6,2021-01-04,2021-01-10,1
2021-Week01,IVP11600,KG,7,2021-01-04,2021-01-10,1
2021-Week01,IVP11666,KG,900,2021-01-04,2021-01-10,1
2021-Week01,IVP11670,KG,3000,2021-01-04,2021-01-10,1
2021-Week01,IVP11672,KG,900,2021-01-04,2021-01-10,1
2021-Week01,IVP11690,KG,28,2021-01-04,2021-01-10,1
2021-Week01,IVP15034,KG,1800,2021-01-04,2021-01-10,1
2021-Week01,IVP15060,KG,1200,2021-01-04,2021-01-10,1
2021-Week01,IVP15062,KG,300,2021-01-04,2021-01-10,1
2021-Week01,IVP15081,KG,300,2021-01-04,2021-01-10,1
2021-Week01,IVP15087,PZA,288,2021-01-04,2021-01-10,1
2021-Week01,IVP15088,KG,450,2021-01-04,2021-01-10,1
2021-Week01,IVP15123,KG,1800,2021-01-04,2021-01-10,1
2021-Week01,IVP15125,KG,450,2021-01-04,2021-01-10,1
2021-Week01,IVP15196,KG,37,2021-01-04,2021-01-10,1
2021-Week01,IVP15212,KG,7,2021-01-04,2021-01-10,1
2021-Week01,IVP99022,PZA,1,2021-01-04,2021-01-10,1
2021-Week01,IVP99023,PZA,3,2021-01-04,2021-01-10,1
2021-Week02,IVP01009,PZA,8,2021-01-11,2021-01-17,2
2021-Week02,IVP01010,PZA,5,2021-01-11,2021-01-17,2
2021-Week02,IVP01011,KG,7,2021-01-11,2021-01-17,2
2021-Week02,IVP01014,PZA,6,2021-01-11,2021-01-17,2
2021-Week02,IVP04001,PZA,54,2021-01-11,2021-01-17,2
2021-Week02,IVP04009,PZA,144,2021-01-11,2021-01-17,2
2021-Week02,IVP04014,PZA,144,2021-01-11,2021-01-17,2
2021-Week02,IVP04039,PZA,165,2021-01-11,2021-01-17,2
2021-Week02,IVP04040,PZA,1,2021-01-11,2021-01-17,2
2021-Week02,IVP04043,PZA,1,2021-01-11,2021-01-17,2
2021-Week02,IVP07021,KG,1080,2021-01-11,2021-01-17,2
2021-Week02,IVP07060,KG,27,2021-01-11,2021-01-17,2
2021-Week02,IVP07068,KG,27,2021-01-11,2021-01-17,2
2021-Week02,IVP07076,KG,54,2021-01-11,2021-01-17,2
2021-Week02,IVP07077,PZA,18,2021-01-11,2021-01-17,2
2021-Week02,IVP07094,KG,11070,2021-01-11,2021-01-17,2
2021-Week02,IVP07112,KG,54,2021-01-11,2021-01-17,2
2021-Week02,IVP07123,KG,81,2021-01-11,2021-01-17,2
2021-Week02,IVP07130,KG,1200,2021-01-11,2021-01-17,2
2021-Week02,IVP07131,KG,4200,2021-01-11,2021-01-17,2
2021-Week02,IVP07134,KG,3,2021-01-11,2021-01-17,2
2021-Week02,IVP07145,KG,4050,2021-01-11,2021-01-17,2
2021-Week02,IVP07157,KG,540,2021-01-11,2021-01-17,2
2021-Week02,IVP07159,KG,540,2021-01-11,2021-01-17,2
2021-Week02,IVP07165,KG,270,2021-01-11,2021-01-17,2
2021-Week02,IVP07169,KG,1161,2021-01-11,2021-01-17,2
2021-Week02,IVP07174,KG,27,2021-01-11,2021-01-17,2
2021-Week02,IVP07189,KG,162,2021-01-11,2021-01-17,2
2021-Week02,IVP07191,KG,81,2021-01-11,2021-01-17,2
2021-Week02,IVP07193,KG,54,2021-01-11,2021-01-17,2
2021-Week02,IVP07207,KG,270,2021-01-11,2021-01-17,2
2021-Week02,IVP07215,KG,27,2021-01-11,2021-01-17,2
2021-Week02,IVP07225,KG,108,2021-01-11,2021-01-17,2
2021-Week02,IVP07244,KG,918,2021-01-11,2021-01-17,2
2021-Week02,IVP07264,KG,3510,2021-01-11,2021-01-17,2
2021-Week02,IVP07265,KG,216,2021-01-11,2021-01-17,2
2021-Week02,IVP07267,KG,189,2021-01-11,2021-01-17,2
2021-Week02,IVP07273,KG,1620,2021-01-11,2021-01-17,2
2021-Week02,IVP07274,KG,189,2021-01-11,2021-01-17,2
2021-Week02,IVP07274,PZA,18,2021-01-11,2021-01-17,2
2021-Week02,IVP07293,KG,2700,2021-01-11,2021-01-17,2
2021-Week02,IVP07309,KG,837,2021-01-11,2021-01-17,2
2021-Week02,IVP07309,PZA,18,2021-01-11,2021-01-17,2
2021-Week02,IVP07314,KG,378,2021-01-11,2021-01-17,2
2021-Week02,IVP07322,KG,27,2021-01-11,2021-01-17,2
2021-Week02,IVP07322,PZA,90,2021-01-11,2021-01-17,2
2021-Week02,IVP07331,KG,81,2021-01-11,2021-01-17,2
2021-Week02,IVP07331,PZA,144,2021-01-11,2021-01-17,2
2021-Week02,IVP07349,KG,108,2021-01-11,2021-01-17,2
2021-Week02,IVP07361,KG,810,2021-01-11,2021-01-17,2
2021-Week02,IVP07387,PZA,36,2021-01-11,2021-01-17,2
2021-Week02,IVP07388,KG,27,2021-01-11,2021-01-17,2
2021-Week02,IVP07410,KG,540,2021-01-11,2021-01-17,2
2021-Week02,IVP074409,KG,1080,2021-01-11,2021-01-17,2
2021-Week02,IVP07452,KG,270,2021-01-11,2021-01-17,2
2021-Week02,IVP07480,KG,378,2021-01-11,2021-01-17,2
2021-Week02,IVP07520,KG,229,2021-01-11,2021-01-17,2
2021-Week02,IVP07528,KG,24,2021-01-11,2021-01-17,2
2021-Week02,IVP08007,KG,6,2021-01-11,2021-01-17,2
2021-Week02,IVP08016,KG,57,2021-01-11,2021-01-17,2
2021-Week02,IVP08020,KG,240,2021-01-11,2021-01-17,2
2021-Week02,IVP08034,KG,90,2021-01-11,2021-01-17,2
2021-Week02,IVP09009,KG,1080,2021-01-11,2021-01-17,2
2021-Week02,IVP09028,KG,270,2021-01-11,2021-01-17,2
2021-Week02,IVP09035,KG,180,2021-01-11,2021-01-17,2
2021-Week02,IVP09036,KG,24,2021-01-11,2021-01-17,2
2021-Week02,IVP10002,PZA,36,2021-01-11,2021-01-17,2
2021-Week02,IVP10009,KG,9,2021-01-11,2021-01-17,2
2021-Week02,IVP11024,KG,28,2021-01-11,2021-01-17,2
2021-Week02,IVP11031,KG,628,2021-01-11,2021-01-17,2
2021-Week02,IVP11057,KG,1500,2021-01-11,2021-01-17,2
2021-Week02,IVP11068,KG,1248,2021-01-11,2021-01-17,2
2021-Week02,IVP11080,KG,624,2021-01-11,2021-01-17,2
2021-Week02,IVP11082,KG,113,2021-01-11,2021-01-17,2
2021-Week02,IVP11083,KG,85,2021-01-11,2021-01-17,2
2021-Week02,IVP11087,KG,256,2021-01-11,2021-01-17,2
2021-Week02,IVP11115,KG,150,2021-01-11,2021-01-17,2
2021-Week02,IVP11132,KG,57,2021-01-11,2021-01-17,2
2021-Week02,IVP11135,KG,300,2021-01-11,2021-01-17,2
2021-Week02,IVP11137,KG,57,2021-01-11,2021-01-17,2
2021-Week02,IVP11141,KG,30,2021-01-11,2021-01-17,2
2021-Week02,IVP11154,KG,57,2021-01-11,2021-01-17,2
2021-Week02,IVP11158,KG,57,2021-01-11,2021-01-17,2
2021-Week02,IVP11159,KG,142,2021-01-11,2021-01-17,2
2021-Week02,IVP11160,KG,1500,2021-01-11,2021-01-17,2
2021-Week02,IVP11162,KG,738,2021-01-11,2021-01-17,2
2021-Week02,IVP11166,KG,28,2021-01-11,2021-01-17,2
2021-Week02,IVP11253,KG,28,2021-01-11,2021-01-17,2
2021-Week02,IVP11280,KG,57,2021-01-11,2021-01-17,2
2021-Week02,IVP11306,KG,28,2021-01-11,2021-01-17,2
2021-Week02,IVP11345,KG,114,2021-01-11,2021-01-17,2
2021-Week02,IVP11346,KG,1674,2021-01-11,2021-01-17,2
2021-Week02,IVP11356,KG,75,2021-01-11,2021-01-17,2
2021-Week02,IVP11375,KG,11232,2021-01-11,2021-01-17,2
2021-Week02,IVP11386,KG,300,2021-01-11,2021-01-17,2
2021-Week02,IVP11387,KG,600,2021-01-11,2021-01-17,2
2021-Week02,IVP11415,KG,7,2021-01-11,2021-01-17,2
2021-Week02,IVP11416,KG,28,2021-01-11,2021-01-17,2
2021-Week02,IVP11419,KG,114,2021-01-11,2021-01-17,2
2021-Week02,IVP11430,KG,300,2021-01-11,2021-01-17,2
2021-Week02,IVP11479,KG,442,2021-01-11,2021-01-17,2
2021-Week02,IVP11506,KG,1248,2021-01-11,2021-01-17,2
2021-Week02,IVP11519,KG,85,2021-01-11,2021-01-17,2
2021-Week02,IVP11576,KG,600,2021-01-11,2021-01-17,2
2021-Week02,IVP11588,KG,2700,2021-01-11,2021-01-17,2
2021-Week02,IVP11595,KG,1500,2021-01-11,2021-01-17,2
2021-Week02,IVP11620,KG,300,2021-01-11,2021-01-17,2
2021-Week02,IVP13011,KG,810,2021-01-11,2021-01-17,2
2021-Week02,IVP14003,KG,72,2021-01-11,2021-01-17,2
2021-Week02,IVP15034,KG,600,2021-01-11,2021-01-17,2
2021-Week02,IVP15086,KG,22,2021-01-11,2021-01-17,2
2021-Week02,IVP15087,PZA,180,2021-01-11,2021-01-17,2
2021-Week02,IVP15089,KG,1200,2021-01-11,2021-01-17,2
2021-Week02,IVP15107,KG,150,2021-01-11,2021-01-17,2
2021-Week02,IVP15196,KG,9,2021-01-11,2021-01-17,2
2021-Week02,IVP15513,KG,5,2021-01-11,2021-01-17,2
2021-Week02,IVP15513,PZA,45,2021-01-11,2021-01-17,2
2021-Week03,IVP01006,KG,7,2021-01-18,2021-01-24,3
2021-Week03,IVP01009,PZA,9,2021-01-18,2021-01-24,3
2021-Week03,IVP01010,PZA,75,2021-01-18,2021-01-24,3
2021-Week03,IVP01011,KG,15,2021-01-18,2021-01-24,3
2021-Week03,IVP04001,PZA,90,2021-01-18,2021-01-24,3
2021-Week03,IVP04009,PZA,108,2021-01-18,2021-01-24,3
2021-Week03,IVP04020,PZA,36,2021-01-18,2021-01-24,3
2021-Week03,IVP04039,PZA,56,2021-01-18,2021-01-24,3
2021-Week03,IVP04040,PZA,25,2021-01-18,2021-01-24,3
2021-Week03,IVP07021,KG,1350,2021-01-18,2021-01-24,3
2021-Week03,IVP07026,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07068,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07072,KG,270,2021-01-18,2021-01-24,3
2021-Week03,IVP07077,KG,54,2021-01-18,2021-01-24,3
2021-Week03,IVP07078,KG,54,2021-01-18,2021-01-24,3
2021-Week03,IVP07082,KG,54,2021-01-18,2021-01-24,3
2021-Week03,IVP07083,KG,540,2021-01-18,2021-01-24,3
2021-Week03,IVP07085,PZA,36,2021-01-18,2021-01-24,3
2021-Week03,IVP07094,KG,3240,2021-01-18,2021-01-24,3
2021-Week03,IVP07099,KG,9180,2021-01-18,2021-01-24,3
2021-Week03,IVP07105,KG,81,2021-01-18,2021-01-24,3
2021-Week03,IVP07106,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07114,KG,81,2021-01-18,2021-01-24,3
2021-Week03,IVP07119,KG,270,2021-01-18,2021-01-24,3
2021-Week03,IVP07130,KG,210,2021-01-18,2021-01-24,3
2021-Week03,IVP07131,KG,9567,2021-01-18,2021-01-24,3
2021-Week03,IVP07142,KG,540,2021-01-18,2021-01-24,3
2021-Week03,IVP07145,KG,324,2021-01-18,2021-01-24,3
2021-Week03,IVP07165,KG,1299,2021-01-18,2021-01-24,3
2021-Week03,IVP07169,KG,2268,2021-01-18,2021-01-24,3
2021-Week03,IVP07170,KG,54,2021-01-18,2021-01-24,3
2021-Week03,IVP07189,KG,189,2021-01-18,2021-01-24,3
2021-Week03,IVP07193,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07197,KG,135,2021-01-18,2021-01-24,3
2021-Week03,IVP07201,KG,81,2021-01-18,2021-01-24,3
2021-Week03,IVP07207,KG,2430,2021-01-18,2021-01-24,3
2021-Week03,IVP07214,KG,432,2021-01-18,2021-01-24,3
2021-Week03,IVP07215,KG,270,2021-01-18,2021-01-24,3
2021-Week03,IVP07219,PZA,108,2021-01-18,2021-01-24,3
2021-Week03,IVP07222,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07231,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07243,KG,540,2021-01-18,2021-01-24,3
2021-Week03,IVP07244,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07294,KG,5340,2021-01-18,2021-01-24,3
2021-Week03,IVP07306,KG,810,2021-01-18,2021-01-24,3
2021-Week03,IVP07314,KG,54,2021-01-18,2021-01-24,3
2021-Week03,IVP07331,KG,324,2021-01-18,2021-01-24,3
2021-Week03,IVP07361,KG,27,2021-01-18,2021-01-24,3
2021-Week03,IVP07372,KG,54,2021-01-18,2021-01-24,3
2021-Week03,IVP07384,KG,54,2021-01-18,2021-01-24,3
2021-Week03,IVP07387,KG,108,2021-01-18,2021-01-24,3
2021-Week03,IVP07412,PZA,36,2021-01-18,2021-01-24,3
2021-Week03,IVP07426,KG,60,2021-01-18,2021-01-24,3
2021-Week03,IVP07436,KG,2400,2021-01-18,2021-01-24,3
2021-Week03,IVP07445,KG,1080,2021-01-18,2021-01-24,3
2021-Week03,IVP07446,KG,756,2021-01-18,2021-01-24,3
2021-Week03,IVP07452,KG,3838,2021-01-18,2021-01-24,3
2021-Week03,IVP07452,PZA,180,2021-01-18,2021-01-24,3
2021-Week03,IVP08003,KG,1416,2021-01-18,2021-01-24,3
2021-Week03,IVP08007,KG,60,2021-01-18,2021-01-24,3
2021-Week03,IVP08016,KG,258,2021-01-18,2021-01-24,3
2021-Week03,IVP08031,KG,150,2021-01-18,2021-01-24,3
2021-Week03,IVP08040,KG,60,2021-01-18,2021-01-24,3
2021-Week03,IVP08042,KG,30,2021-01-18,2021-01-24,3
2021-Week03,IVP08045,KG,6,2021-01-18,2021-01-24,3
2021-Week03,IVP09009,KG,1080,2021-01-18,2021-01-24,3
2021-Week03,IVP09023,KG,300,2021-01-18,2021-01-24,3
2021-Week03,IVP09024,KG,285,2021-01-18,2021-01-24,3
2021-Week03,IVP10002,PZA,36,2021-01-18,2021-01-24,3
2021-Week03,IVP10009,KG,30,2021-01-18,2021-01-24,3
2021-Week03,IVP10025,KG,180,2021-01-18,2021-01-24,3
2021-Week03,IVP11031,KG,142,2021-01-18,2021-01-24,3
2021-Week03,IVP11047,KG,7,2021-01-18,2021-01-24,3
2021-Week03,IVP11050,KG,600,2021-01-18,2021-01-24,3
2021-Week03,IVP11057,KG,826,2021-01-18,2021-01-24,3
2021-Week03,IVP11063,KG,300,2021-01-18,2021-01-24,3
2021-Week03,IVP11080,KG,28,2021-01-18,2021-01-24,3
2021-Week03,IVP11081,KG,741,2021-01-18,2021-01-24,3
2021-Week03,IVP11082,KG,142,2021-01-18,2021-01-24,3
2021-Week03,IVP11090,KG,313,2021-01-18,2021-01-24,3
2021-Week03,IVP11135,KG,600,2021-01-18,2021-01-24,3
2021-Week03,IVP11137,KG,900,2021-01-18,2021-01-24,3
2021-Week03,IVP11141,KG,88,2021-01-18,2021-01-24,3
2021-Week03,IVP11144,KG,7650,2021-01-18,2021-01-24,3
2021-Week03,IVP11158,KG,1394,2021-01-18,2021-01-24,3
2021-Week03,IVP11159,KG,198,2021-01-18,2021-01-24,3
2021-Week03,IVP11162,KG,684,2021-01-18,2021-01-24,3
2021-Week03,IVP11169,KG,85,2021-01-18,2021-01-24,3
2021-Week03,IVP11213,KG,28,2021-01-18,2021-01-24,3
2021-Week03,IVP11252,KG,624,2021-01-18,2021-01-24,3
2021-Week03,IVP11255,KG,57,2021-01-18,2021-01-24,3
2021-Week03,IVP11282,KG,300,2021-01-18,2021-01-24,3
2021-Week03,IVP11347,KG,142,2021-01-18,2021-01-24,3
2021-Week03,IVP11390,KG,28,2021-01-18,2021-01-24,3
2021-Week03,IVP11479,KG,1500,2021-01-18,2021-01-24,3
2021-Week03,IVP11576,KG,810,2021-01-18,2021-01-24,3
2021-Week03,IVP11586,KG,274,2021-01-18,2021-01-24,3
2021-Week03,IVP11589,KG,900,2021-01-18,2021-01-24,3
2021-Week03,IVP11595,KG,1500,2021-01-18,2021-01-24,3
2021-Week03,IVP11663,KG,957,2021-01-18,2021-01-24,3
2021-Week03,IVP11664,KG,114,2021-01-18,2021-01-24,3
2021-Week03,IVP14005,KG,105,2021-01-18,2021-01-24,3
2021-Week03,IVP15020,KG,28,2021-01-18,2021-01-24,3
2021-Week03,IVP15023,KG,1500,2021-01-18,2021-01-24,3
2021-Week03,IVP15042,KG,900,2021-01-18,2021-01-24,3
2021-Week03,IVP15089,KG,300,2021-01-18,2021-01-24,3
2021-Week03,IVP15123,KG,900,2021-01-18,2021-01-24,3
2021-Week03,IVP15196,KG,30,2021-01-18,2021-01-24,3
2021-Week03,IVP99004,KG,324,2021-01-18,2021-01-24,3
2021-Week03,IVP99104,PZA,45,2021-01-18,2021-01-24,3
2021-Week04,IVP01007,KG,30,2021-01-25,2021-01-31,4
2021-Week04,IVP01009,PZA,25,2021-01-25,2021-01-31,4
2021-Week04,IVP01010,PZA,21,2021-01-25,2021-01-31,4
2021-Week04,IVP01011,KG,7,2021-01-25,2021-01-31,4
2021-Week04,IVP01012,KG,1,2021-01-25,2021-01-31,4
2021-Week04,IVP01014,PZA,1,2021-01-25,2021-01-31,4
2021-Week04,IVP01015,KG,8720,2021-01-25,2021-01-31,4
2021-Week04,IVP04001,PZA,37,2021-01-25,2021-01-31,4
2021-Week04,IVP04009,PZA,288,2021-01-25,2021-01-31,4
2021-Week04,IVP04010,PZA,126,2021-01-25,2021-01-31,4
2021-Week04,IVP04014,PZA,37,2021-01-25,2021-01-31,4
2021-Week04,IVP04018,PZA,73,2021-01-25,2021-01-31,4
2021-Week04,IVP04022,PZA,1,2021-01-25,2021-01-31,4
2021-Week04,IVP04039,PZA,307,2021-01-25,2021-01-31,4
2021-Week04,IVP04040,PZA,16,2021-01-25,2021-01-31,4
2021-Week04,IVP04042,PZA,22,2021-01-25,2021-01-31,4
2021-Week04,IVP04044,PZA,1,2021-01-25,2021-01-31,4
2021-Week04,IVP04045,PZA,1,2021-01-25,2021-01-31,4
2021-Week04,IVP07048,KG,54,2021-01-25,2021-01-31,4
2021-Week04,IVP07072,KG,270,2021-01-25,2021-01-31,4
2021-Week04,IVP07076,KG,54,2021-01-25,2021-01-31,4
2021-Week04,IVP07076,PZA,15,2021-01-25,2021-01-31,4
2021-Week04,IVP07077,KG,135,2021-01-25,2021-01-31,4
2021-Week04,IVP07085,KG,1350,2021-01-25,2021-01-31,4
2021-Week04,IVP07094,KG,3240,2021-01-25,2021-01-31,4
2021-Week04,IVP07099,KG,9180,2021-01-25,2021-01-31,4
2021-Week04,IVP07104,KG,27,2021-01-25,2021-01-31,4
2021-Week04,IVP07119,KG,189,2021-01-25,2021-01-31,4
2021-Week04,IVP07131,KG,837,2021-01-25,2021-01-31,4
2021-Week04,IVP07137,KG,270,2021-01-25,2021-01-31,4
2021-Week04,IVP07145,KG,4401,2021-01-25,2021-01-31,4
2021-Week04,IVP07157,KG,810,2021-01-25,2021-01-31,4
2021-Week04,IVP07159,KG,540,2021-01-25,2021-01-31,4
2021-Week04,IVP07165,KG,89,2021-01-25,2021-01-31,4
2021-Week04,IVP07169,KG,594,2021-01-25,2021-01-31,4
2021-Week04,IVP07174,KG,324,2021-01-25,2021-01-31,4
2021-Week04,IVP07191,KG,270,2021-01-25,2021-01-31,4
2021-Week04,IVP07193,KG,54,2021-01-25,2021-01-31,4
2021-Week04,IVP07207,KG,1080,2021-01-25,2021-01-31,4
2021-Week04,IVP07222,KG,81,2021-01-25,2021-01-31,4
2021-Week04,IVP07231,KG,54,2021-01-25,2021-01-31,4
2021-Week04,IVP07239,PZA,18,2021-01-25,2021-01-31,4
2021-Week04,IVP07244,PZA,18,2021-01-25,2021-01-31,4
2021-Week04,IVP07254,PZA,18,2021-01-25,2021-01-31,4
2021-Week04,IVP07258,KG,810,2021-01-25,2021-01-31,4
2021-Week04,IVP07264,KG,810,2021-01-25,2021-01-31,4
2021-Week04,IVP07265,KG,54,2021-01-25,2021-01-31,4
2021-Week04,IVP07267,KG,108,2021-01-25,2021-01-31,4
2021-Week04,IVP07274,KG,162,2021-01-25,2021-01-31,4
2021-Week04,IVP07278,PZA,1,2021-01-25,2021-01-31,4
2021-Week04,IVP07294,KG,540,2021-01-25,2021-01-31,4
2021-Week04,IVP07297,KG,6,2021-01-25,2021-01-31,4
2021-Week04,IVP07304,KG,900,2021-01-25,2021-01-31,4
2021-Week04,IVP07314,KG,1,2021-01-25,2021-01-31,4
