Orden de Venta,Creacion Orden de Venta,Codigo Cliente,Articulo,Cantidad,Unidad de venta,Segmento Cliente
ABC063865,2021-01-05,D0CB9F8E,IVP11057,300,L,Alimentos y farmaceutica
ABC063864,2021-01-05,B678967B,IVP11600,7,L,Genericos
ABC063863,2021-01-05,B678967B,IVP15196,30,L,Genericos
ABC063858,2021-01-05,018C4FFA,IVP10025,270,KG,Metal Mecanica
ABC063859,2021-01-05,56D31EA9,IVP07306,60,KG,Carton y Papel
ABC063860,2021-01-05,6D376B5B,IVP07397,1080,KG,Aceros
ABC063876,2021-01-05,AF9E8CED,IVP07145,270,KG,Carton y Papel
ABC063869,2021-01-05,89362A29,IVP04040,67,PZA,Genericos
ABC063889,2021-01-05,D21ED8AB,IVP08056,60,KG,Metal Mecanica
ABC063888,2021-01-05,CA62878B,IVP07083,1,KG,Alimentos y farmaceutica
ABC063887,2021-01-05,90D40001,IVP01011,15,L,Genericos
ABC063886,2021-01-05,CA62878B,IVP07048,4,KG,Alimentos y farmaceutica
ABC063886,2021-01-05,CA62878B,IVP07048,4,KG,Alimentos y farmaceutica
ABC063886,2021-01-05,CA62878B,IVP07083,4,KG,Alimentos y farmaceutica
ABC063886,2021-01-05,CA62878B,IVP07083,4,KG,Alimentos y farmaceutica
ABC063886,2021-01-05,CA62878B,IVP11090,85,L,Alimentos y farmaceutica
ABC063886,2021-01-05,CA62878B,IVP11090,85,L,Alimentos y farmaceutica
ABC063885,2021-01-05,85A211B5,IVP11025,28,L,Ingenios
ABC063857,2021-01-05,044600D2,IVP07387,18,PZA,Distribuidor
ABC063883,2021-01-05,5C8A288C,IVP07165,18,PZA,Metal Mecanica
ABC063881,2021-01-05,7506A90E,IVP11158,28,L,Distribuidor
ABC063879,2021-01-05,2F7E15C6,IVP07064,270,KG,Aceros
ABC063878,2021-01-05,3B429E7F,IVP04009,18,PZA,Alimentos y farmaceutica
ABC063877,2021-01-05,49A3454F,IVP07331,270,KG,Alimentos y farmaceutica
ABC063875,2021-01-05,B9BA0F92,IVP11082,57,L,Ceramica
ABC063874,2021-01-05,18F3A3BB,IVP11031,57,L,Alimentos y farmaceutica
ABC063872,2021-01-05,A760F354,IVP04040,3,PZA,Genericos
ABC063881,2021-01-05,7506A90E,IVP07201,108,KG,Distribuidor
ABC063857,2021-01-05,044600D2,IVP04020,36,PZA,Distribuidor
ABC063857,2021-01-05,044600D2,IVP07387,18,PZA,Distribuidor
ABC063851,2021-01-05,A760F354,IVP01010,3,PZA,Genericos
ABC063850,2021-01-05,C8011B50,IVP07370,1350,KG,Ferrocarriles
ABC063852,2021-01-05,A760F354,IVP04040,15,PZA,Genericos
ABC063853,2021-01-05,B616E895,IVP01010,30,PZA,
ABC063857,2021-01-05,044600D2,IVP04020,36,PZA,Distribuidor
ABC063853,2021-01-05,B616E895,IVP04040,4,PZA,
ABC063854,2021-01-05,A760F354,IVP04040,30,PZA,Genericos
ABC063854,2021-01-05,A760F354,IVP01009,3,PZA,Genericos
ABC063853,2021-01-05,B616E895,IVP01009,15,PZA,
ABC063855,2021-01-05,BA62A6B7,IVP07130,1200,KG,Distribuidor
ABC063855,2021-01-05,BA62A6B7,IVP07131,900,KG,Distribuidor
ABC063856,2021-01-05,40A32FC2,IVP15087,288,PZA,Distribuidor
ABC063857,2021-01-05,044600D2,IVP11347,85,L,Distribuidor
ABC063857,2021-01-05,044600D2,IVP11347,85,L,Distribuidor
ABC063901,2021-01-06,71C9A747,IVP07261,1080,KG,Minas
ABC063901,2021-01-06,71C9A747,IVP11588,1500,L,Minas
ABC063901,2021-01-06,71C9A747,IVP11588,1500,L,Minas
ABC063900,2021-01-06,5E4FFB9B,IVP04014,36,PZA,Alimentos y farmaceutica
ABC063899,2021-01-06,B23B7127,IVP07076,27,KG,Alimentos y farmaceutica
ABC063899,2021-01-06,B23B7127,IVP15081,300,KG,Alimentos y farmaceutica
ABC063890,2021-01-06,77773FF1,IVP07428,27,KG,Aceros
ABC063891,2021-01-06,339192DF,IVP07130,2100,KG,Distribuidor
ABC063892,2021-01-06,E9306274,IVP15088,150,KG,Distribuidor
ABC063892,2021-01-06,E9306274,IVP15125,450,KG,Distribuidor
ABC063893,2021-01-06,B6E4AC9F,IVP07405,81,KG,Automotriz
ABC063894,2021-01-06,B05F43D8,IVP11162,57,L,Alimentos y farmaceutica
ABC063895,2021-01-06,A8FAB560,IVP11253,85,L,Distribuidor
ABC063901,2021-01-06,71C9A747,IVP07261,1080,KG,Minas
ABC063897,2021-01-06,339192DF,IVP07131,900,KG,Distribuidor
ABC063901,2021-01-06,71C9A747,IVP11588,1500,L,Minas
ABC063896,2021-01-06,68F46D1A,IVP07304,2430,KG,Aceros
ABC063901,2021-01-06,71C9A747,IVP07261,1080,KG,Minas
ABC063901,2021-01-06,71C9A747,IVP07261,1080,KG,Minas
ABC063902,2021-01-06,A760F354,IVP01009,13,PZA,Genericos
ABC063903,2021-01-06,B678967B,IVP11690,28,L,Genericos
ABC063904,2021-01-06,8C3140C7,IVP11169,300,L,Metal Mecanica
ABC063896,2021-01-06,68F46D1A,IVP07304,2430,KG,Aceros
ABC063901,2021-01-06,71C9A747,IVP11588,1500,L,Minas
ABC063914,2021-01-07,12558C43,IVP07145,81,KG,Aceros
ABC063914,2021-01-07,12558C43,IVP08007,90,KG,Aceros
ABC063913,2021-01-07,A760F354,IVP04039,9,PZA,Genericos
ABC063911,2021-01-07,9450D4F7,IVP11087,342,L,Intercompanias
ABC063911,2021-01-07,9450D4F7,IVP07085,270,KG,Intercompanias
ABC063907,2021-01-07,C7045DDB,IVP07169,108,KG,Aceros
ABC063909,2021-01-07,018C4FFA,IVP99023,3,PZA,Metal Mecanica
ABC063908,2021-01-07,3FEC5B6E,IVP11479,600,L,Metal Mecanica
ABC063906,2021-01-07,3A7E664A,IVP15123,1500,KG,Automotriz
ABC063906,2021-01-07,3A7E664A,IVP15123,300,KG,Automotriz
ABC063905,2021-01-07,856D8515,IVP11479,28,L,Distribuidor
ABC063909,2021-01-07,018C4FFA,IVP99022,1,PZA,Metal Mecanica
ABC063907,2021-01-07,C7045DDB,IVP08031,150,KG,Aceros
ABC063921,2021-01-07,A760F354,IVP01009,1,PZA,Genericos
ABC063918,2021-01-07,B945ABDE,IVP07463,108,KG,Alimentos y farmaceutica
ABC063917,2021-01-07,CFBD4073,IVP08056,90,KG,Metal Mecanica
ABC063926,2021-01-07,CBA4E19F,IVP15034,1800,KG,Automotriz
ABC063925,2021-01-07,9E79B253,IVP11026,85,L,Distribuidor
ABC063924,2021-01-07,78E7AA1B,IVP07077,18,PZA,Distribuidor
ABC063916,2021-01-07,B771CA80,IVP07197,135,KG,Carton y Papel
ABC063922,2021-01-07,8C3140C7,IVP11081,28,L,Metal Mecanica
ABC063920,2021-01-07,7F00B89D,IVP15196,7,L,Metal Mecanica
ABC063919,2021-01-07,B678967B,IVP15212,7,KG,Genericos
ABC063923,2021-01-07,CB733DCF,IVP07123,270,KG,Distribuidor
ABC063941,2021-01-08,18F3A3BB,IVP07331,270,KG,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP07165,36,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP07165,36,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP04009,72,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP04009,72,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP07314,27,KG,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP07314,27,KG,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP11252,85,L,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP11252,85,L,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP07165,36,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP04009,72,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP04009,72,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP07314,27,KG,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP11252,85,L,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP11252,85,L,Alimentos y farmaceutica
ABC063943,2021-01-08,F6F39D95,IVP07243,12960,KG,Subsidiarias
ABC063943,2021-01-08,F6F39D95,IVP07384,7560,KG,Subsidiarias
ABC063943,2021-01-08,F6F39D95,IVP07452,9720,KG,Subsidiarias
ABC063942,2021-01-08,35250F34,IVP07165,36,PZA,Alimentos y farmaceutica
ABC063942,2021-01-08,35250F34,IVP07314,27,KG,Alimentos y farmaceutica
ABC063940,2021-01-08,D3F3041A,IVP11282,300,L,Minas
ABC063944,2021-01-08,F6F39D95,IVP11027,1500,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11162,4500,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11433,300,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07165,1080,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07170,540,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07218,540,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07219,540,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07318,540,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07324,810,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11060,300,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07412,270,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07480,1350,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07042,162,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07114,540,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP08038,270,KG,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07244,270,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11159,1500,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11144,228,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11060,600,L,Subsidiarias
ABC063945,2021-01-08,054FD593,IVP15062,300,KG,Automotriz
ABC063945,2021-01-08,054FD593,IVP15060,1200,KG,Automotriz
ABC063944,2021-01-08,F6F39D95,IVP11672,300,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11670,1500,L,Subsidiarias
ABC063955,2021-01-08,BA62A6B7,IVP11589,6,L,Distribuidor
ABC063944,2021-01-08,F6F39D95,IVP11666,300,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11431,1500,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11365,300,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11304,300,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP11252,1500,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11368,1500,L,Subsidiarias
ABC063939,2021-01-08,12558C43,IVP11492,312,L,Aceros
ABC063956,2021-01-08,461ECB36,IVP07372,270,KG,Aceros
ABC063938,2021-01-08,2C005B51,IVP07331,135,KG,Distribuidor
ABC063946,2021-01-08,F6F39D95,IVP07324,810,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP07412,540,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP07480,1620,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP07244,270,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP07269,1080,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP07278,540,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11026,1500,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11090,300,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11252,1500,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11299,300,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11304,300,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP07318,540,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11365,300,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11670,1500,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11672,600,L,Subsidiarias
ABC063947,2021-01-08,9DEBDF85,IVP07214,3,KG,Ceramica
ABC063948,2021-01-08,D3C21C74,IVP11515,600,L,Aceros
ABC063949,2021-01-08,413B722C,IVP07349,54,KG,Alimentos y farmaceutica
ABC063950,2021-01-08,467BAA26,IVP07267,54,KG,
ABC063951,2021-01-08,EDD2371F,IVP09028,270,KG,Metal Mecanica
ABC063952,2021-01-08,EDD2371F,IVP09022,300,L,Metal Mecanica
ABC063953,2021-01-08,2C005B51,IVP07309,6,KG,Distribuidor
ABC063954,2021-01-08,A760F354,IVP04040,1,PZA,Genericos
ABC063946,2021-01-08,F6F39D95,IVP11666,600,L,Subsidiarias
ABC063938,2021-01-08,2C005B51,IVP07349,27,KG,Distribuidor
ABC063946,2021-01-08,F6F39D95,IVP07219,540,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP07170,810,KG,Subsidiarias
ABC063938,2021-01-08,2C005B51,IVP04014,36,PZA,Distribuidor
ABC063938,2021-01-08,2C005B51,IVP11280,28,L,Distribuidor
ABC063938,2021-01-08,2C005B51,IVP07278,27,KG,Distribuidor
ABC063937,2021-01-08,BA62A6B7,IVP11159,28,L,Distribuidor
ABC063936,2021-01-08,93AB2D93,IVP11262,28,L,Distribuidor
ABC063936,2021-01-08,93AB2D93,IVP11491,85,L,Distribuidor
ABC063935,2021-01-08,526D1E4B,IVP11479,300,L,Metal Mecanica
ABC063934,2021-01-08,BA62A6B7,IVP11588,900,L,Distribuidor
ABC063933,2021-01-08,74A1EBD4,IVP07428,243,KG,Aceros
ABC063932,2021-01-08,74A1EBD4,IVP07157,270,KG,Aceros
ABC063946,2021-01-08,F6F39D95,IVP07218,810,KG,Subsidiarias
ABC063931,2021-01-08,74A1EBD4,IVP07157,270,KG,Aceros
ABC063929,2021-01-08,78E7AA1B,IVP11134,300,L,Distribuidor
ABC063928,2021-01-08,0598F2F5,IVP11551,600,L,Ingenios
ABC063928,2021-01-08,0598F2F5,IVP11551,600,L,Ingenios
ABC063928,2021-01-08,0598F2F5,IVP07131,1500,KG,Ingenios
ABC063928,2021-01-08,0598F2F5,IVP07131,1500,KG,Ingenios
ABC063928,2021-01-08,0598F2F5,IVP07436,3,KG,Ingenios
ABC063928,2021-01-08,0598F2F5,IVP07436,3,KG,Ingenios
ABC063927,2021-01-08,F97390F5,IVP08042,30,KG,Metal Mecanica
ABC063944,2021-01-08,F6F39D95,IVP07278,540,KG,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11419T,1500,L,Subsidiarias
ABC063946,2021-01-08,F6F39D95,IVP11433,600,L,Subsidiarias
ABC063944,2021-01-08,F6F39D95,IVP07269,1080,KG,Subsidiarias
ABC063959,2021-01-11,8E948DF7,IVP07165,108,KG,Distribuidor
ABC063958,2021-01-11,2C005B51,IVP04014,36,PZA,Distribuidor
ABC063971,2021-01-11,68F46D1A,IVP07207,270,KG,Aceros
ABC063971,2021-01-11,68F46D1A,IVP07264,3510,KG,Aceros
ABC063972,2021-01-11,F25C6CB7,IVP07480,27,KG,Alimentos y farmaceutica
ABC063972,2021-01-11,F25C6CB7,IVP07480,27,KG,Alimentos y farmaceutica
ABC063972,2021-01-11,F25C6CB7,IVP07480,27,KG,Alimentos y farmaceutica
ABC063972,2021-01-11,F25C6CB7,IVP07480,27,KG,Alimentos y farmaceutica
ABC063973,2021-01-11,044600D2,IVP07076,54,KG,Distribuidor
ABC063973,2021-01-11,044600D2,IVP11158,57,L,Distribuidor
ABC063971,2021-01-11,68F46D1A,IVP07094,11070,KG,Aceros
ABC063974,2021-01-11,67E83BAF,IVP07145,4050,KG,Metal Mecanica
ABC063975,2021-01-11,A760F354,IVP04039,18,PZA,Genericos
ABC063976,2021-01-11,A760F354,IVP04039,9,PZA,Genericos
ABC063977,2021-01-11,68F46D1A,IVP07021,1080,KG,Aceros
ABC063978,2021-01-11,B678967B,IVP15196,1,L,Genericos
ABC063979,2021-01-11,B678967B,IVP15196,1,L,Genericos
ABC063980,2021-01-11,68F46D1A,IVP11375,3744,L,Aceros
ABC063981,2021-01-11,9F546608,IVP07112,54,KG,Quimica y Petroquimica
ABC063958,2021-01-11,2C005B51,IVP11280,57,L,Distribuidor
ABC063974,2021-01-11,67E83BAF,IVP08020,240,KG,Metal Mecanica
ABC063970,2021-01-11,93AB2D93,IVP04014,18,PZA,Distribuidor
ABC063957,2021-01-11,D642EF3F,IVP13011,810,L,Metal Mecanica
ABC063970,2021-01-11,93AB2D93,IVP07215,27,KG,Distribuidor
ABC063970,2021-01-11,93AB2D93,IVP04009,36,PZA,Distribuidor
ABC063958,2021-01-11,2C005B51,IVP07274,18,PZA,Distribuidor
ABC063958,2021-01-11,2C005B51,IVP07349,27,KG,Distribuidor
ABC063958,2021-01-11,2C005B51,IVP11306,28,L,Distribuidor
ABC063960,2021-01-11,00911E4B,IVP11135,300,L,Metal Mecanica
ABC063961,2021-01-11,12558C43,IVP08034,90,KG,Aceros
ABC063962,2021-01-11,622E5F1D,IVP07193,27,KG,Alimentos y farmaceutica
ABC063963,2021-01-11,622E5F1D,IVP11057,1200,L,Alimentos y farmaceutica
ABC063963,2021-01-11,622E5F1D,IVP11057,300,L,Alimentos y farmaceutica
ABC063959,2021-01-11,8E948DF7,IVP15087,180,PZA,Distribuidor
ABC063964,2021-01-11,622E5F1D,IVP11083,85,L,Alimentos y farmaceutica
ABC063965,2021-01-11,40A32FC2,IVP11415,7,L,Distribuidor
ABC063966,2021-01-11,D0C9A4EC,IVP11159,142,L,Alimentos y farmaceutica
ABC063967,2021-01-11,AAC34CAA,IVP15034,600,KG,Polimeros
ABC063968,2021-01-11,B9B74BCE,IVP11430,300,L,Distribuidor
ABC063969,2021-01-11,B9B74BCE,IVP11419,114,L,Distribuidor
ABC063970,2021-01-11,93AB2D93,IVP11154,57,L,Distribuidor
ABC063970,2021-01-11,93AB2D93,IVP11137,57,L,Distribuidor
ABC063970,2021-01-11,93AB2D93,IVP07387,18,PZA,Distribuidor
ABC063963,2021-01-11,622E5F1D,IVP07193,27,KG,Alimentos y farmaceutica
ABC063995,2021-01-12,A760F354,IVP01014,6,PZA,Genericos
ABC063997,2021-01-12,D88189A2,IVP07123,81,KG,Distribuidor
ABC063998,2021-01-12,2618C5D0,IVP04001,36,PZA,Aceros
ABC064001,2021-01-12,74A1EBD4,IVP07157,270,KG,Aceros
ABC064005,2021-01-12,74A1EBD4,IVP07157,270,KG,Aceros
ABC064003,2021-01-12,A760F354,IVP01011,7,L,Genericos
ABC064004,2021-01-12,BA62A6B7,IVP07388,27,KG,Distribuidor
ABC063995,2021-01-12,A760F354,IVP04039,22,PZA,Genericos
ABC064002,2021-01-12,78E7AA1B,IVP07480,270,KG,Distribuidor
ABC064000,2021-01-12,B9BA0F92,IVP11082,57,L,Ceramica
ABC063994,2021-01-12,B678967B,IVP15513,5,L,Genericos
ABC063984,2021-01-12,D88189A2,IVP11346,810,KG,Distribuidor
ABC063984,2021-01-12,D88189A2,IVP11346,810,KG,Distribuidor
ABC063985,2021-01-12,048B7850,IVP07165,27,KG,Alimentos y farmaceutica
ABC063987,2021-01-12,56B26F02,IVP11620,300,L,Automotriz
ABC063988,2021-01-12,52E56BEE,IVP11386,300,L,Minas
ABC063983,2021-01-12,622E5F1D,IVP11166,28,L,Alimentos y farmaceutica
ABC063990,2021-01-12,A760F354,IVP04039,9,PZA,Genericos
ABC063991,2021-01-12,A760F354,IVP04039,9,PZA,Genericos
ABC064038,2021-01-13,C6E18153,IVP07314,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07314,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07244,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07244,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP11068,312,L,Ingenios
ABC064035,2021-01-13,195F663F,IVP15107,150,KG,Polimeros
ABC064038,2021-01-13,C6E18153,IVP11506,312,L,Ingenios
ABC064038,2021-01-13,C6E18153,IVP11506,312,L,Ingenios
ABC064037,2021-01-13,B7F71C10,IVP04039,4,PZA,Genericos
ABC064036,2021-01-13,A760F354,IVP01009,1,PZA,Genericos
ABC064038,2021-01-13,C6E18153,IVP07309,135,KG,Ingenios
ABC064034,2021-01-13,7F92C6D6,IVP07361,810,KG,Minas
ABC064032,2021-01-13,6B97EFF1,IVP11519,85,L,Metal Mecanica
ABC064038,2021-01-13,C6E18153,IVP11068,312,L,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07309,135,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07314,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP11506,312,L,Ingenios
ABC064038,2021-01-13,C6E18153,IVP11068,312,L,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07244,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07244,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07314,81,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07309,135,KG,Ingenios
ABC064038,2021-01-13,C6E18153,IVP07309,135,KG,Ingenios
ABC064039,2021-01-13,C6E18153,IVP07309,108,KG,Ingenios
ABC064039,2021-01-13,C6E18153,IVP07244,54,KG,Ingenios
ABC064039,2021-01-13,C6E18153,IVP07314,54,KG,Ingenios
ABC064041,2021-01-13,9450D4F7,IVP07189,162,KG,Intercompanias
ABC064042,2021-01-13,4F2C048A,IVP11416,28,L,Quimica y Petroquimica
ABC064031,2021-01-13,D1D8357C,IVP04009,18,PZA,Alimentos y farmaceutica
ABC064038,2021-01-13,C6E18153,IVP11506,312,L,Ingenios
ABC064030,2021-01-13,68F46D1A,IVP07273,810,KG,Aceros
ABC064030,2021-01-13,68F46D1A,IVP11375,3744,L,Aceros
ABC064016,2021-01-13,A760F354,IVP04039,9,PZA,Genericos
ABC064015,2021-01-13,A760F354,IVP01010,1,PZA,Genericos
ABC064014,2021-01-13,44CF986A,IVP07131,1800,KG,Ingenios
ABC064013,2021-01-13,467BAA26,IVP07267,81,KG,
ABC064012,2021-01-13,8E948DF7,IVP07244,108,KG,Distribuidor
ABC064011,2021-01-13,5693D56B,IVP07159,270,KG,Aceros
ABC064010,2021-01-13,5693D56B,IVP07159,270,KG,Aceros
ABC064009,2021-01-13,BA62A6B7,IVP08016,30,KG,Distribuidor
ABC064009,2021-01-13,BA62A6B7,IVP07309,54,KG,Distribuidor
ABC064009,2021-01-13,BA62A6B7,IVP07165,81,KG,Distribuidor
ABC064008,2021-01-13,BA62A6B7,IVP07131,900,KG,Distribuidor
ABC064008,2021-01-13,BA62A6B7,IVP07130,1200,KG,Distribuidor
ABC064007,2021-01-13,12558C43,IVP07309,54,KG,Aceros
ABC064007,2021-01-13,12558C43,IVP11080,624,L,Aceros
ABC064030,2021-01-13,68F46D1A,IVP07273,810,KG,Aceros
ABC064017,2021-01-13,0EF67EE6,IVP07060,27,KG,Genericos
ABC064018,2021-01-13,A760F354,IVP04039,3,PZA,Genericos
ABC064038,2021-01-13,C6E18153,IVP11068,312,L,Ingenios
ABC064019,2021-01-13,D4C576EB,IVP11356,15,L,Subsidiarias
ABC064030,2021-01-13,68F46D1A,IVP11375,3744,L,Aceros
ABC064029,2021-01-13,58B5B9BD,IVP07331,81,KG,Alimentos y farmaceutica
ABC064028,2021-01-13,F25C6CB7,IVP15196,7,L,Alimentos y farmaceutica
ABC064027,2021-01-13,B685D258,IVP07077,18,PZA,Distribuidor
ABC064027,2021-01-13,B685D258,IVP07331,18,PZA,Distribuidor
ABC064026,2021-01-13,B685D258,IVP11115,150,L,Distribuidor
ABC064027,2021-01-13,B685D258,IVP07309,18,PZA,Distribuidor
ABC064026,2021-01-13,B685D258,IVP07331,126,PZA,Distribuidor
ABC064025,2021-01-13,3D41483E,IVP01009,7,PZA,Alimentos y farmaceutica
ABC064024,2021-01-13,339192DF,IVP07131,1500,KG,Distribuidor
ABC064023,2021-01-13,101E74DD,IVP11479,142,L,Metal Mecanica
ABC064022,2021-01-13,1C110892,IVP11595,1500,L,Aceros
ABC064021,2021-01-13,6D2F75A8,IVP11356,60,L,Alimentos y farmaceutica
ABC064020,2021-01-13,F1E68838,IVP11588,2700,L,Minas
ABC064026,2021-01-13,B685D258,IVP07191,81,KG,Distribuidor
ABC064064,2021-01-14,2C005B51,IVP04001,18,PZA,Distribuidor
ABC064061,2021-01-14,12558C43,IVP07410,540,KG,Aceros
ABC064062,2021-01-14,875B06ED,IVP09009,1080,KG,Metal Mecanica
ABC064063,2021-01-14,8BD5B940,IVP11024,28,L,Distribuidor
ABC064064,2021-01-14,2C005B51,IVP07349,81,KG,Distribuidor
ABC064064,2021-01-14,2C005B51,IVP11082,28,L,Distribuidor
ABC064064,2021-01-14,2C005B51,IVP04014,90,PZA,Distribuidor
ABC064069,2021-01-14,2618C5D0,IVP08007,6,KG,Aceros
ABC064064,2021-01-14,2C005B51,IVP07387,18,PZA,Distribuidor
