Week,Articulo,Unidad de venta,Segmento Cliente,Creacion Orden de Venta,Cantidad,Week Start,Week End
2021-Week01,IVP07123,KG,Distribuidor,2021-01-07,270,2021-01-04,2021-01-10
2021-Week01,IVP07130,KG,Distribuidor,2021-01-05,1200,2021-01-04,2021-01-10
2021-Week01,IVP07130,KG,Distribuidor,2021-01-06,2100,2021-01-04,2021-01-10
2021-Week01,IVP07131,KG,Distribuidor,2021-01-05,900,2021-01-04,2021-01-10
2021-Week01,IVP07131,KG,Distribuidor,2021-01-06,900,2021-01-04,2021-01-10
2021-Week01,IVP07131,KG,Ingenios,2021-01-08,3000,2021-01-04,2021-01-10
2021-Week01,IVP07131,KG,Quimica y Petroquimica,2021-01-04,27,2021-01-04,2021-01-10
2021-Week01,IVP07144,KG,Aceros,2021-01-04,1080,2021-01-04,2021-01-10
2021-Week01,IVP07145,KG,Aceros,2021-01-07,81,2021-01-04,2021-01-10
2021-Week01,IVP07145,KG,Carton y Papel,2021-01-05,270,2021-01-04,2021-01-10
2021-Week01,IVP07157,KG,Aceros,2021-01-08,540,2021-01-04,2021-01-10
2021-Week01,IVP07165,KG,Subsidiarias,2021-01-08,1080,2021-01-04,2021-01-10
2021-Week01,IVP07165,PZA,Alimentos y farmaceutica,2021-01-08,144,2021-01-04,2021-01-10
2021-Week01,IVP07165,PZA,Metal Mecanica,2021-01-05,18,2021-01-04,2021-01-10
2021-Week01,IVP07169,KG,Aceros,2021-01-07,108,2021-01-04,2021-01-10
2021-Week01,IVP07170,KG,Subsidiarias,2021-01-08,1350,2021-01-04,2021-01-10
2021-Week01,IVP07197,KG,Carton y Papel,2021-01-07,135,2021-01-04,2021-01-10
2021-Week01,IVP07201,KG,Distribuidor,2021-01-05,108,2021-01-04,2021-01-10
2021-Week01,IVP07214,KG,Ceramica,2021-01-08,3,2021-01-04,2021-01-10
2021-Week01,IVP07218,KG,Subsidiarias,2021-01-08,1350,2021-01-04,2021-01-10
2021-Week01,IVP07219,KG,Subsidiarias,2021-01-08,1080,2021-01-04,2021-01-10
2021-Week01,IVP07229,KG,Aceros,2021-01-04,540,2021-01-04,2021-01-10
2021-Week01,IVP07243,KG,Subsidiarias,2021-01-08,12960,2021-01-04,2021-01-10
2021-Week01,IVP07244,KG,Subsidiarias,2021-01-08,540,2021-01-04,2021-01-10
2021-Week01,IVP07261,KG,Minas,2021-01-06,4320,2021-01-04,2021-01-10
2021-Week01,IVP07269,KG,Subsidiarias,2021-01-08,2160,2021-01-04,2021-01-10
2021-Week01,IVP07278,KG,Distribuidor,2021-01-08,27,2021-01-04,2021-01-10
2021-Week01,IVP07278,KG,Subsidiarias,2021-01-08,1080,2021-01-04,2021-01-10
2021-Week01,IVP07304,KG,Aceros,2021-01-06,4860,2021-01-04,2021-01-10
2021-Week01,IVP07306,KG,Carton y Papel,2021-01-05,60,2021-01-04,2021-01-10
2021-Week01,IVP07309,KG,Distribuidor,2021-01-08,6,2021-01-04,2021-01-10
2021-Week01,IVP07314,KG,Alimentos y farmaceutica,2021-01-08,108,2021-01-04,2021-01-10
2021-Week01,IVP07318,KG,Subsidiarias,2021-01-08,1080,2021-01-04,2021-01-10
2021-Week01,IVP07324,KG,Subsidiarias,2021-01-08,1620,2021-01-04,2021-01-10
2021-Week01,IVP07331,KG,Alimentos y farmaceutica,2021-01-05,270,2021-01-04,2021-01-10
2021-Week01,IVP07331,KG,Alimentos y farmaceutica,2021-01-08,270,2021-01-04,2021-01-10
2021-Week01,IVP07331,KG,Distribuidor,2021-01-08,135,2021-01-04,2021-01-10
2021-Week01,IVP07349,KG,Alimentos y farmaceutica,2021-01-08,54,2021-01-04,2021-01-10
2021-Week01,IVP07349,KG,Distribuidor,2021-01-08,27,2021-01-04,2021-01-10
2021-Week01,IVP07370,KG,Ferrocarriles,2021-01-05,1350,2021-01-04,2021-01-10
2021-Week01,IVP07372,KG,Aceros,2021-01-08,270,2021-01-04,2021-01-10
2021-Week01,IVP07384,KG,Subsidiarias,2021-01-08,7560,2021-01-04,2021-01-10
2021-Week01,IVP07387,PZA,Distribuidor,2021-01-05,36,2021-01-04,2021-01-10
2021-Week01,IVP07397,KG,Aceros,2021-01-05,1080,2021-01-04,2021-01-10
2021-Week01,IVP07405,KG,Automotriz,2021-01-06,81,2021-01-04,2021-01-10
2021-Week01,IVP07412,KG,Subsidiarias,2021-01-08,810,2021-01-04,2021-01-10
2021-Week01,IVP07428,KG,Aceros,2021-01-06,27,2021-01-04,2021-01-10
2021-Week01,IVP07428,KG,Aceros,2021-01-08,243,2021-01-04,2021-01-10
2021-Week01,IVP07436,KG,Ingenios,2021-01-08,6,2021-01-04,2021-01-10
2021-Week01,IVP07452,KG,Subsidiarias,2021-01-08,9720,2021-01-04,2021-01-10
2021-Week01,IVP07463,KG,Alimentos y farmaceutica,2021-01-07,108,2021-01-04,2021-01-10
2021-Week01,IVP07480,KG,Subsidiarias,2021-01-08,2970,2021-01-04,2021-01-10
2021-Week01,IVP08003,KG,Aceros,2021-01-04,300,2021-01-04,2021-01-10
2021-Week01,IVP08003,KG,Metal Mecanica,2021-01-04,4,2021-01-04,2021-01-10
2021-Week01,IVP08007,KG,Aceros,2021-01-07,90,2021-01-04,2021-01-10
2021-Week01,IVP08031,KG,Aceros,2021-01-07,150,2021-01-04,2021-01-10
2021-Week01,IVP08038,KG,Subsidiarias,2021-01-08,270,2021-01-04,2021-01-10
2021-Week01,IVP08042,KG,Metal Mecanica,2021-01-08,30,2021-01-04,2021-01-10
2021-Week01,IVP08056,KG,Metal Mecanica,2021-01-05,60,2021-01-04,2021-01-10
2021-Week01,IVP08056,KG,Metal Mecanica,2021-01-07,90,2021-01-04,2021-01-10
2021-Week01,IVP09009,KG,Metal Mecanica,2021-01-04,2160,2021-01-04,2021-01-10
2021-Week01,IVP09022,L,Metal Mecanica,2021-01-08,300,2021-01-04,2021-01-10
2021-Week01,IVP09028,KG,Metal Mecanica,2021-01-08,270,2021-01-04,2021-01-10
2021-Week01,IVP10009,KG,Metal Mecanica,2021-01-05,6,2021-01-04,2021-01-10
2021-Week01,IVP10025,KG,Metal Mecanica,2021-01-05,270,2021-01-04,2021-01-10
2021-Week01,IVP11025,L,Ingenios,2021-01-05,28,2021-01-04,2021-01-10
2021-Week01,IVP11026,L,Distribuidor,2021-01-07,85,2021-01-04,2021-01-10
2021-Week01,IVP11026,L,Subsidiarias,2021-01-08,1500,2021-01-04,2021-01-10
2021-Week01,IVP11027,L,Subsidiarias,2021-01-08,1500,2021-01-04,2021-01-10
2021-Week01,IVP11031,L,Alimentos y farmaceutica,2021-01-05,57,2021-01-04,2021-01-10
2021-Week01,IVP11057,L,Alimentos y farmaceutica,2021-01-05,1200,2021-01-04,2021-01-10
2021-Week01,IVP11060,L,Subsidiarias,2021-01-08,900,2021-01-04,2021-01-10
2021-Week01,IVP11081,L,Metal Mecanica,2021-01-07,28,2021-01-04,2021-01-10
2021-Week01,IVP11082,L,Ceramica,2021-01-05,57,2021-01-04,2021-01-10
2021-Week01,IVP11087,L,Intercompanias,2021-01-07,342,2021-01-04,2021-01-10
2021-Week01,IVP11090,L,Alimentos y farmaceutica,2021-01-05,170,2021-01-04,2021-01-10
2021-Week01,IVP11090,L,Subsidiarias,2021-01-08,300,2021-01-04,2021-01-10
2021-Week01,IVP11134,L,Distribuidor,2021-01-08,300,2021-01-04,2021-01-10
2021-Week01,IVP11144,L,Aceros,2021-01-04,300,2021-01-04,2021-01-10
2021-Week01,IVP11144,L,Subsidiarias,2021-01-08,228,2021-01-04,2021-01-10
2021-Week01,IVP11158,L,Distribuidor,2021-01-05,28,2021-01-04,2021-01-10
2021-Week01,IVP11159,L,Distribuidor,2021-01-08,28,2021-01-04,2021-01-10
2021-Week01,IVP11159,L,Subsidiarias,2021-01-08,1500,2021-01-04,2021-01-10
2021-Week01,IVP11162,L,Alimentos y farmaceutica,2021-01-06,57,2021-01-04,2021-01-10
2021-Week01,IVP11162,L,Distribuidor,2021-01-04,85,2021-01-04,2021-01-10
2021-Week01,IVP11162,L,Subsidiarias,2021-01-08,4500,2021-01-04,2021-01-10
2021-Week01,IVP11169,L,Metal Mecanica,2021-01-06,300,2021-01-04,2021-01-10
2021-Week01,IVP11252,L,Alimentos y farmaceutica,2021-01-04,57,2021-01-04,2021-01-10
2021-Week01,IVP11252,L,Alimentos y farmaceutica,2021-01-08,340,2021-01-04,2021-01-10
2021-Week01,IVP11252,L,Subsidiarias,2021-01-08,3000,2021-01-04,2021-01-10
2021-Week01,IVP11253,L,Distribuidor,2021-01-06,85,2021-01-04,2021-01-10
2021-Week01,IVP11262,L,Distribuidor,2021-01-08,28,2021-01-04,2021-01-10
2021-Week01,IVP11280,L,Distribuidor,2021-01-08,28,2021-01-04,2021-01-10
2021-Week01,IVP11282,L,Minas,2021-01-08,300,2021-01-04,2021-01-10
2021-Week01,IVP11299,L,Subsidiarias,2021-01-08,300,2021-01-04,2021-01-10
2021-Week01,IVP11304,L,Subsidiarias,2021-01-08,600,2021-01-04,2021-01-10
2021-Week01,IVP11347,L,Distribuidor,2021-01-05,170,2021-01-04,2021-01-10
2021-Week01,IVP11365,L,Subsidiarias,2021-01-08,600,2021-01-04,2021-01-10
2021-Week01,IVP11368,L,Subsidiarias,2021-01-08,1500,2021-01-04,2021-01-10
2021-Week01,IVP11419T,L,Subsidiarias,2021-01-08,1500,2021-01-04,2021-01-10
2021-Week01,IVP11431,L,Subsidiarias,2021-01-08,1500,2021-01-04,2021-01-10
2021-Week01,IVP11433,L,Subsidiarias,2021-01-08,900,2021-01-04,2021-01-10
2021-Week01,IVP11479,L,Distribuidor,2021-01-07,28,2021-01-04,2021-01-10
2021-Week01,IVP11479,L,Metal Mecanica,2021-01-07,600,2021-01-04,2021-01-10
2021-Week01,IVP11479,L,Metal Mecanica,2021-01-08,300,2021-01-04,2021-01-10
2021-Week01,IVP11491,L,Distribuidor,2021-01-08,85,2021-01-04,2021-01-10
2021-Week01,IVP11492,L,Aceros,2021-01-08,312,2021-01-04,2021-01-10
2021-Week01,IVP11515,L,Aceros,2021-01-08,600,2021-01-04,2021-01-10
2021-Week01,IVP11551,L,Ingenios,2021-01-08,1200,2021-01-04,2021-01-10
2021-Week01,IVP11576,L,Alimentos y farmaceutica,2021-01-04,60,2021-01-04,2021-01-10
2021-Week01,IVP11588,L,Distribuidor,2021-01-08,900,2021-01-04,2021-01-10
2021-Week01,IVP11588,L,Minas,2021-01-06,6000,2021-01-04,2021-01-10
2021-Week01,IVP11589,L,Distribuidor,2021-01-08,6,2021-01-04,2021-01-10
2021-Week01,IVP11600,L,Genericos,2021-01-05,7,2021-01-04,2021-01-10
2021-Week01,IVP11666,L,Subsidiarias,2021-01-08,900,2021-01-04,2021-01-10
2021-Week01,IVP11670,L,Subsidiarias,2021-01-08,3000,2021-01-04,2021-01-10
2021-Week01,IVP11672,L,Subsidiarias,2021-01-08,900,2021-01-04,2021-01-10
2021-Week01,IVP11690,L,Genericos,2021-01-06,28,2021-01-04,2021-01-10
2021-Week01,IVP15034,KG,Automotriz,2021-01-07,1800,2021-01-04,2021-01-10
2021-Week01,IVP15060,KG,Automotriz,2021-01-08,1200,2021-01-04,2021-01-10
2021-Week01,IVP15062,KG,Automotriz,2021-01-08,300,2021-01-04,2021-01-10
2021-Week01,IVP15081,KG,Alimentos y farmaceutica,2021-01-06,300,2021-01-04,2021-01-10
2021-Week01,IVP15087,PZA,Distribuidor,2021-01-05,288,2021-01-04,2021-01-10
2021-Week01,IVP15088,KG,Distribuidor,2021-01-05,300,2021-01-04,2021-01-10
2021-Week01,IVP15088,KG,Distribuidor,2021-01-06,150,2021-01-04,2021-01-10
2021-Week01,IVP15123,KG,Automotriz,2021-01-07,1800,2021-01-04,2021-01-10
2021-Week01,IVP15125,KG,Distribuidor,2021-01-06,450,2021-01-04,2021-01-10
2021-Week01,IVP15196,L,Genericos,2021-01-05,30,2021-01-04,2021-01-10
2021-Week01,IVP15196,L,Metal Mecanica,2021-01-07,7,2021-01-04,2021-01-10
2021-Week01,IVP15212,KG,Genericos,2021-01-07,7,2021-01-04,2021-01-10
2021-Week01,IVP99022,PZA,Metal Mecanica,2021-01-07,1,2021-01-04,2021-01-10
2021-Week01,IVP99023,PZA,Metal Mecanica,2021-01-07,3,2021-01-04,2021-01-10
2021-Week02,IVP01009,PZA,Alimentos y farmaceutica,2021-01-13,7,2021-01-11,2021-01-17
2021-Week02,IVP01009,PZA,Genericos,2021-01-13,1,2021-01-11,2021-01-17
2021-Week02,IVP01010,PZA,Genericos,2021-01-13,1,2021-01-11,2021-01-17
2021-Week02,IVP01010,PZA,Genericos,2021-01-16,4,2021-01-11,2021-01-17
2021-Week02,IVP01011,L,Genericos,2021-01-12,7,2021-01-11,2021-01-17
2021-Week02,IVP01014,PZA,Genericos,2021-01-12,6,2021-01-11,2021-01-17
2021-Week02,IVP04001,PZA,Aceros,2021-01-12,36,2021-01-11,2021-01-17
2021-Week02,IVP04001,PZA,Distribuidor,2021-01-14,18,2021-01-11,2021-01-17
2021-Week02,IVP04009,PZA,Aceros,2021-01-14,18,2021-01-11,2021-01-17
2021-Week02,IVP04009,PZA,Alimentos y farmaceutica,2021-01-13,18,2021-01-11,2021-01-17
2021-Week02,IVP04009,PZA,Alimentos y farmaceutica,2021-01-14,18,2021-01-11,2021-01-17
2021-Week02,IVP04009,PZA,Distribuidor,2021-01-11,36,2021-01-11,2021-01-17
2021-Week02,IVP04009,PZA,Distribuidor,2021-01-16,36,2021-01-11,2021-01-17
2021-Week02,IVP04009,PZA,Polimeros,2021-01-15,18,2021-01-11,2021-01-17
2021-Week02,IVP04014,PZA,Distribuidor,2021-01-11,54,2021-01-11,2021-01-17
2021-Week02,IVP04014,PZA,Distribuidor,2021-01-14,90,2021-01-11,2021-01-17
2021-Week02,IVP04039,PZA,Genericos,2021-01-11,27,2021-01-11,2021-01-17
2021-Week02,IVP04039,PZA,Genericos,2021-01-12,40,2021-01-11,2021-01-17
2021-Week02,IVP04039,PZA,Genericos,2021-01-13,16,2021-01-11,2021-01-17
2021-Week02,IVP04039,PZA,Genericos,2021-01-14,20,2021-01-11,2021-01-17
2021-Week02,IVP04039,PZA,Genericos,2021-01-15,46,2021-01-11,2021-01-17
2021-Week02,IVP04039,PZA,Genericos,2021-01-16,16,2021-01-11,2021-01-17
2021-Week02,IVP04040,PZA,Genericos,2021-01-14,1,2021-01-11,2021-01-17
2021-Week02,IVP04043,PZA,Automotriz,2021-01-14,1,2021-01-11,2021-01-17
2021-Week02,IVP07021,KG,Aceros,2021-01-11,1080,2021-01-11,2021-01-17
2021-Week02,IVP07060,KG,Genericos,2021-01-13,27,2021-01-11,2021-01-17
2021-Week02,IVP07068,KG,Alimentos y farmaceutica,2021-01-15,27,2021-01-11,2021-01-17
2021-Week02,IVP07076,KG,Distribuidor,2021-01-11,54,2021-01-11,2021-01-17
2021-Week02,IVP07077,PZA,Distribuidor,2021-01-13,18,2021-01-11,2021-01-17
2021-Week02,IVP07094,KG,Aceros,2021-01-11,11070,2021-01-11,2021-01-17
2021-Week02,IVP07112,KG,Quimica y Petroquimica,2021-01-11,54,2021-01-11,2021-01-17
2021-Week02,IVP07123,KG,Distribuidor,2021-01-12,81,2021-01-11,2021-01-17
2021-Week02,IVP07130,KG,Distribuidor,2021-01-13,1200,2021-01-11,2021-01-17
2021-Week02,IVP07131,KG,Distribuidor,2021-01-13,2400,2021-01-11,2021-01-17
2021-Week02,IVP07131,KG,Ingenios,2021-01-13,1800,2021-01-11,2021-01-17
2021-Week02,IVP07134,KG,Ingenios,2021-01-15,3,2021-01-11,2021-01-17
2021-Week02,IVP07145,KG,Metal Mecanica,2021-01-11,4050,2021-01-11,2021-01-17
2021-Week02,IVP07157,KG,Aceros,2021-01-12,540,2021-01-11,2021-01-17
2021-Week02,IVP07159,KG,Aceros,2021-01-13,540,2021-01-11,2021-01-17
2021-Week02,IVP07165,KG,Alimentos y farmaceutica,2021-01-12,27,2021-01-11,2021-01-17
2021-Week02,IVP07165,KG,Distribuidor,2021-01-11,108,2021-01-11,2021-01-17
2021-Week02,IVP07165,KG,Distribuidor,2021-01-13,81,2021-01-11,2021-01-17
2021-Week02,IVP07165,KG,Distribuidor,2021-01-16,54,2021-01-11,2021-01-17
2021-Week02,IVP07169,KG,Aceros,2021-01-14,1161,2021-01-11,2021-01-17
2021-Week02,IVP07174,KG,Alimentos y farmaceutica,2021-01-15,27,2021-01-11,2021-01-17
2021-Week02,IVP07189,KG,Intercompanias,2021-01-13,162,2021-01-11,2021-01-17
2021-Week02,IVP07191,KG,Distribuidor,2021-01-13,81,2021-01-11,2021-01-17
2021-Week02,IVP07193,KG,Alimentos y farmaceutica,2021-01-11,54,2021-01-11,2021-01-17
2021-Week02,IVP07207,KG,Aceros,2021-01-11,270,2021-01-11,2021-01-17
2021-Week02,IVP07215,KG,Distribuidor,2021-01-11,27,2021-01-11,2021-01-17
2021-Week02,IVP07225,KG,Polimeros,2021-01-14,108,2021-01-11,2021-01-17
2021-Week02,IVP07244,KG,Alimentos y farmaceutica,2021-01-16,432,2021-01-11,2021-01-17
2021-Week02,IVP07244,KG,Distribuidor,2021-01-13,108,2021-01-11,2021-01-17
2021-Week02,IVP07244,KG,Ingenios,2021-01-13,378,2021-01-11,2021-01-17
2021-Week02,IVP07264,KG,Aceros,2021-01-11,3510,2021-01-11,2021-01-17
2021-Week02,IVP07265,KG,Distribuidor,2021-01-15,162,2021-01-11,2021-01-17
2021-Week02,IVP07265,KG,Distribuidor,2021-01-16,54,2021-01-11,2021-01-17
2021-Week02,IVP07267,KG,Distribuidor,2021-01-14,108,2021-01-11,2021-01-17
2021-Week02,IVP07273,KG,Aceros,2021-01-13,1620,2021-01-11,2021-01-17
2021-Week02,IVP07274,KG,Distribuidor,2021-01-15,81,2021-01-11,2021-01-17
2021-Week02,IVP07274,KG,Distribuidor,2021-01-16,108,2021-01-11,2021-01-17
2021-Week02,IVP07274,PZA,Distribuidor,2021-01-11,18,2021-01-11,2021-01-17
2021-Week02,IVP07293,KG,Aceros,2021-01-14,2700,2021-01-11,2021-01-17
2021-Week02,IVP07309,KG,Aceros,2021-01-13,54,2021-01-11,2021-01-17
2021-Week02,IVP07309,KG,Distribuidor,2021-01-13,54,2021-01-11,2021-01-17
2021-Week02,IVP07309,KG,Distribuidor,2021-01-15,81,2021-01-11,2021-01-17
2021-Week02,IVP07309,KG,Ingenios,2021-01-13,648,2021-01-11,2021-01-17
2021-Week02,IVP07309,PZA,Distribuidor,2021-01-13,18,2021-01-11,2021-01-17
2021-Week02,IVP07314,KG,Ingenios,2021-01-13,378,2021-01-11,2021-01-17
2021-Week02,IVP07322,KG,Distribuidor,2021-01-16,27,2021-01-11,2021-01-17
2021-Week02,IVP07322,PZA,Distribuidor,2021-01-14,90,2021-01-11,2021-01-17
2021-Week02,IVP07331,KG,Alimentos y farmaceutica,2021-01-13,81,2021-01-11,2021-01-17
2021-Week02,IVP07331,PZA,Distribuidor,2021-01-13,144,2021-01-11,2021-01-17
2021-Week02,IVP07349,KG,Distribuidor,2021-01-11,27,2021-01-11,2021-01-17
2021-Week02,IVP07349,KG,Distribuidor,2021-01-14,81,2021-01-11,2021-01-17
2021-Week02,IVP07361,KG,Minas,2021-01-13,810,2021-01-11,2021-01-17
2021-Week02,IVP07387,PZA,Distribuidor,2021-01-11,18,2021-01-11,2021-01-17
2021-Week02,IVP07387,PZA,Distribuidor,2021-01-14,18,2021-01-11,2021-01-17
2021-Week02,IVP07388,KG,Distribuidor,2021-01-12,27,2021-01-11,2021-01-17
2021-Week02,IVP07410,KG,Aceros,2021-01-14,540,2021-01-11,2021-01-17
2021-Week02,IVP074409,KG,Aceros,2021-01-15,1080,2021-01-11,2021-01-17
2021-Week02,IVP07452,KG,Aceros,2021-01-14,270,2021-01-11,2021-01-17
2021-Week02,IVP07480,KG,Alimentos y farmaceutica,2021-01-11,108,2021-01-11,2021-01-17
2021-Week02,IVP07480,KG,Distribuidor,2021-01-12,270,2021-01-11,2021-01-17
2021-Week02,IVP07520,KG,Distribuidor,2021-01-15,229,2021-01-11,2021-01-17
2021-Week02,IVP07528,KG,Metal Mecanica,2021-01-15,24,2021-01-11,2021-01-17
2021-Week02,IVP08007,KG,Aceros,2021-01-14,6,2021-01-11,2021-01-17
2021-Week02,IVP08016,KG,Distribuidor,2021-01-13,30,2021-01-11,2021-01-17
2021-Week02,IVP08016,KG,Ingenios,2021-01-15,27,2021-01-11,2021-01-17
2021-Week02,IVP08020,KG,Metal Mecanica,2021-01-11,240,2021-01-11,2021-01-17
2021-Week02,IVP08034,KG,Aceros,2021-01-11,90,2021-01-11,2021-01-17
2021-Week02,IVP09009,KG,Metal Mecanica,2021-01-14,1080,2021-01-11,2021-01-17
2021-Week02,IVP09028,KG,Metal Mecanica,2021-01-14,270,2021-01-11,2021-01-17
2021-Week02,IVP09035,KG,Metal Mecanica,2021-01-15,180,2021-01-11,2021-01-17
2021-Week02,IVP09036,KG,Metal Mecanica,2021-01-15,24,2021-01-11,2021-01-17
2021-Week02,IVP10002,PZA,Distribuidor,2021-01-15,36,2021-01-11,2021-01-17
2021-Week02,IVP10009,KG,Metal Mecanica,2021-01-15,9,2021-01-11,2021-01-17
2021-Week02,IVP11024,L,Distribuidor,2021-01-14,28,2021-01-11,2021-01-17
2021-Week02,IVP11031,L,Distribuidor,2021-01-15,28,2021-01-11,2021-01-17
2021-Week02,IVP11031,L,Genericos,2021-01-15,600,2021-01-11,2021-01-17
2021-Week02,IVP11057,L,Alimentos y farmaceutica,2021-01-11,1500,2021-01-11,2021-01-17
2021-Week02,IVP11068,L,Ingenios,2021-01-13,1248,2021-01-11,2021-01-17
2021-Week02,IVP11080,L,Aceros,2021-01-13,624,2021-01-11,2021-01-17
2021-Week02,IVP11082,L,Alimentos y farmaceutica,2021-01-15,28,2021-01-11,2021-01-17
2021-Week02,IVP11082,L,Ceramica,2021-01-12,57,2021-01-11,2021-01-17
2021-Week02,IVP11082,L,Distribuidor,2021-01-14,28,2021-01-11,2021-01-17
2021-Week02,IVP11083,L,Alimentos y farmaceutica,2021-01-11,85,2021-01-11,2021-01-17
2021-Week02,IVP11087,L,Alimentos y farmaceutica,2021-01-16,256,2021-01-11,2021-01-17
2021-Week02,IVP11115,L,Distribuidor,2021-01-13,150,2021-01-11,2021-01-17
2021-Week02,IVP11132,L,Distribuidor,2021-01-16,57,2021-01-11,2021-01-17
2021-Week02,IVP11135,L,Metal Mecanica,2021-01-11,300,2021-01-11,2021-01-17
2021-Week02,IVP11137,L,Distribuidor,2021-01-11,57,2021-01-11,2021-01-17
2021-Week02,IVP11141,L,Aceros,2021-01-14,30,2021-01-11,2021-01-17
2021-Week02,IVP11154,L,Distribuidor,2021-01-11,57,2021-01-11,2021-01-17
2021-Week02,IVP11158,L,Distribuidor,2021-01-11,57,2021-01-11,2021-01-17
2021-Week02,IVP11159,L,Alimentos y farmaceutica,2021-01-11,142,2021-01-11,2021-01-17
2021-Week02,IVP11160,L,Distribuidor,2021-01-16,1500,2021-01-11,2021-01-17
2021-Week02,IVP11162,L,Alimentos y farmaceutica,2021-01-14,57,2021-01-11,2021-01-17
2021-Week02,IVP11162,L,Distribuidor,2021-01-15,57,2021-01-11,2021-01-17
2021-Week02,IVP11162,L,Ingenios,2021-01-14,624,2021-01-11,2021-01-17
2021-Week02,IVP11166,L,Alimentos y farmaceutica,2021-01-12,28,2021-01-11,2021-01-17
2021-Week02,IVP11253,L,Alimentos y farmaceutica,2021-01-14,28,2021-01-11,2021-01-17
2021-Week02,IVP11280,L,Distribuidor,2021-01-11,57,2021-01-11,2021-01-17
2021-Week02,IVP11306,L,Distribuidor,2021-01-11,28,2021-01-11,2021-01-17
2021-Week02,IVP11345,L,Alimentos y farmaceutica,2021-01-15,114,2021-01-11,2021-01-17
2021-Week02,IVP11346,KG,Distribuidor,2021-01-12,1620,2021-01-11,2021-01-17
2021-Week02,IVP11346,KG,Distribuidor,2021-01-15,54,2021-01-11,2021-01-17
2021-Week02,IVP11356,L,Alimentos y farmaceutica,2021-01-13,60,2021-01-11,2021-01-17
2021-Week02,IVP11356,L,Subsidiarias,2021-01-13,15,2021-01-11,2021-01-17
2021-Week02,IVP11375,L,Aceros,2021-01-11,3744,2021-01-11,2021-01-17
2021-Week02,IVP11375,L,Aceros,2021-01-13,7488,2021-01-11,2021-01-17
2021-Week02,IVP11386,L,Minas,2021-01-12,300,2021-01-11,2021-01-17
2021-Week02,IVP11387,L,Distribuidor,2021-01-16,600,2021-01-11,2021-01-17
2021-Week02,IVP11415,L,Distribuidor,2021-01-11,7,2021-01-11,2021-01-17
2021-Week02,IVP11416,L,Quimica y Petroquimica,2021-01-13,28,2021-01-11,2021-01-17
2021-Week02,IVP11419,L,Distribuidor,2021-01-11,114,2021-01-11,2021-01-17
2021-Week02,IVP11430,L,Distribuidor,2021-01-11,300,2021-01-11,2021-01-17
2021-Week02,IVP11479,L,Metal Mecanica,2021-01-13,142,2021-01-11,2021-01-17
2021-Week02,IVP11479,L,Metal Mecanica,2021-01-14,300,2021-01-11,2021-01-17
2021-Week02,IVP11506,L,Ingenios,2021-01-13,1248,2021-01-11,2021-01-17
2021-Week02,IVP11519,L,Metal Mecanica,2021-01-13,85,2021-01-11,2021-01-17
